time,temperature_2m (°C),pressure_msl (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),relative_humidity_2m (%),weather_code (wmo code),rain (mm),precipitation (mm)
2024-01-01T00:00,6,1018.6,100,4.9,306,100,3,0,0
2024-01-01T01:00,9.6,1019.8,67,3.8,343,91,2,0,0
2024-01-01T02:00,9.8,1020.2,100,3.6,354,90,3,0,0
2024-01-01T03:00,10.6,1020.8,86,4.7,351,87,3,0,0
2024-01-01T04:00,11.7,1021.3,80,5.8,353,80,3,0,0
2024-01-01T05:00,12.8,1021.3,96,4.5,346,72,3,0,0
2024-01-01T06:00,13.9,1020.4,67,3.4,328,69,2,0,0
2024-01-01T07:00,14.9,1019.1,49,3.8,311,66,1,0,0
2024-01-01T08:00,15.8,1018,6,5.2,304,64,0,0,0
2024-01-01T09:00,16.3,1017.1,3,6.4,308,62,0,0,0
2024-01-01T10:00,16.3,1016.6,1,8.2,311,62,0,0,0
2024-01-01T11:00,15.8,1016.4,0,8.2,319,65,0,0,0
2024-01-01T12:00,13,1016.5,0,6.6,319,79,0,0,0
2024-01-01T13:00,10.6,1018.2,7,6.1,320,88,0,0,0
2024-01-01T14:00,9.6,1018.8,0,6.1,310,92,0,0,0
2024-01-01T15:00,8.9,1019.2,0,6.5,304,93,0,0,0
2024-01-01T16:00,8.1,1019.4,0,5.9,308,95,0,0,0
2024-01-01T17:00,7.2,1019.5,0,5.6,310,96,0,0,0
2024-01-01T18:00,6.6,1019.1,0,5.6,310,97,0,0,0
2024-01-01T19:00,6,1018.9,0,6.4,313,98,0,0,0
2024-01-01T20:00,5.5,1018.3,0,6.6,315,99,0,0,0
2024-01-01T21:00,5.2,1018.2,0,6.1,310,99,0,0,0
2024-01-01T22:00,4.7,1018,0,6,303,100,0,0,0
2024-01-01T23:00,4.6,1017.9,24,5.2,304,100,1,0,0
2024-01-02T00:00,4.2,1018,100,5.4,312,100,3,0,0
2024-01-02T01:00,7.8,1019.1,100,6.9,332,92,3,0,0
2024-01-02T02:00,8.3,1020,100,6.3,336,91,3,0,0
2024-01-02T03:00,9,1020.6,100,6.6,347,88,3,0,0
2024-01-02T04:00,9.8,1021.3,100,4,10,83,3,0,0
2024-01-02T05:00,10.9,1021.3,100,1.3,34,76,3,0,0
2024-01-02T06:00,12.1,1020.2,71,1.1,18,70,2,0,0
2024-01-02T07:00,13.3,1018.8,40,1.8,360,67,1,0,0
2024-01-02T08:00,14.3,1017.7,22,2.9,353,65,1,0,0
2024-01-02T09:00,14.9,1016.7,12,3.5,336,63,0,0,0
2024-01-02T10:00,15,1016.2,7,5.3,332,63,0,0,0
2024-01-02T11:00,14.4,1016,4,7.1,336,65,0,0,0
2024-01-02T12:00,11.5,1016.3,0,6.3,347,79,0,0,0
2024-01-02T13:00,9.4,1017.7,0,6.3,329,89,0,0,0
2024-01-02T14:00,8.6,1018.1,0,6.4,322,92,0,0,0
2024-01-02T15:00,7.9,1018.1,0,5.9,322,93,0,0,0
2024-01-02T16:00,6.7,1018.4,0,8.4,313,95,0,0,0
2024-01-02T17:00,6.4,1018.5,0,6.8,302,95,0,0,0
2024-01-02T18:00,6.1,1018.2,0,6.1,315,96,0,0,0
2024-01-02T19:00,5.8,1018.1,0,6.4,322,97,0,0,0
2024-01-02T20:00,5.1,1018,16,5.5,337,99,0,0,0
2024-01-02T21:00,4.3,1018,100,8.2,345,100,3,0,0
2024-01-02T22:00,4.7,1017.6,100,6.6,347,100,3,0,0
2024-01-02T23:00,4.7,1017.5,100,5,339,100,3,0,0
2024-01-03T00:00,4.6,1017.7,100,2.4,333,100,3,0,0
2024-01-03T01:00,5.8,1018.7,100,4,350,99,3,0,0
2024-01-03T02:00,6.3,1019.3,100,3.4,18,99,3,0,0
2024-01-03T03:00,7.2,1020,100,3.3,49,98,3,0,0
2024-01-03T04:00,8.5,1020.7,100,3.6,90,97,3,0,0
2024-01-03T05:00,9.9,1020.8,100,3.3,139,95,3,0,0
2024-01-03T06:00,12.3,1019.9,66,2.2,180,82,2,0,0
2024-01-03T07:00,14.4,1018.7,72,1.1,198,70,2,0,0
2024-01-03T08:00,15.3,1017.3,59,3.9,326,67,2,0,0
2024-01-03T09:00,15.7,1016.6,41,6.4,333,65,1,0,0
2024-01-03T10:00,15.7,1016.4,32,6.9,332,66,1,0,0
2024-01-03T11:00,15.1,1016.2,22,6.8,328,68,1,0,0
2024-01-03T12:00,12.4,1016.4,1,6.9,321,82,0,0,0
2024-01-03T13:00,11.4,1017.3,1,11.2,339,80,0,0,0
2024-01-03T14:00,10,1017.5,1,9.2,339,86,0,0,0
2024-01-03T15:00,9,1017.7,14,7.4,331,92,0,0,0
2024-01-03T16:00,8.5,1018,17,6,327,93,0,0,0
2024-01-03T17:00,7.9,1018.2,15,5.1,315,95,0,0,0
2024-01-03T18:00,7.5,1018,28,5.6,310,96,1,0,0
2024-01-03T19:00,7.4,1017.8,6,6.6,311,96,0,0,0
2024-01-03T20:00,6.7,1017.6,0,7.4,309,97,0,0,0
2024-01-03T21:00,6.3,1017.7,0,7,305,97,0,0,0
2024-01-03T22:00,5.9,1017.6,0,6,303,98,0,0,0
2024-01-03T23:00,5.4,1017.5,0,5.4,312,98,0,0,0
2024-01-04T00:00,4.9,1017.9,0,5.6,315,99,0,0,0
2024-01-04T01:00,8.7,1019.1,100,4.9,306,90,3,0,0
2024-01-04T02:00,8.9,1019.7,100,5.7,305,90,3,0,0
2024-01-04T03:00,9.7,1020.4,89,6.6,299,87,3,0,0
2024-01-04T04:00,11.5,1021.1,14,7.3,290,80,0,0,0
2024-01-04T05:00,13.9,1021,7,7,291,72,0,0,0
2024-01-04T06:00,15.6,1019.7,2,7.1,294,67,0,0,0
2024-01-04T07:00,16.9,1018.3,35,4.3,294,64,1,0,0
2024-01-04T08:00,17.7,1017.1,97,2.6,326,61,3,0,0
2024-01-04T09:00,17.8,1016.2,46,2.9,330,59,1,0,0
2024-01-04T10:00,17.9,1015.9,88,3.1,324,58,3,0,0
2024-01-04T11:00,17.5,1015.7,51,4.3,318,59,2,0,0
2024-01-04T12:00,15.9,1015.7,0,6.9,317,68,0,0,0
2024-01-04T13:00,13.4,1017.3,100,8.9,339,80,3,0,0
2024-01-04T14:00,12.9,1017.6,100,9.6,340,81,3,0,0
2024-01-04T15:00,12.2,1017.9,1,10.7,340,84,0,0,0
2024-01-04T16:00,10.4,1018,0,10,345,93,0,0,0
2024-01-04T17:00,9.6,1018.1,6,8.3,342,95,0,0,0
2024-01-04T18:00,8.8,1017.7,15,6.1,332,96,0,0,0
2024-01-04T19:00,8.1,1017.4,27,5.9,317,97,1,0,0
2024-01-04T20:00,7.8,1017.3,53,5.7,305,98,2,0,0
2024-01-04T21:00,8,1017.3,93,5.8,300,98,3,0,0
2024-01-04T22:00,8.9,1017.2,92,6.4,297,97,3,0,0
2024-01-04T23:00,9.5,1017.1,100,7.4,309,96,3,0,0
2024-01-05T00:00,9.7,1017.4,100,7.1,319,95,3,0,0
2024-01-05T01:00,10.3,1018.6,100,6.2,324,94,51,0.1,0.1
2024-01-05T02:00,10.3,1019.2,100,6,327,94,3,0,0
2024-01-05T03:00,10.8,1019.8,100,4.6,342,91,3,0,0
2024-01-05T04:00,11.6,1020.5,100,3.8,343,88,3,0,0
2024-01-05T05:00,12.7,1020.5,22,4.3,336,84,1,0,0
2024-01-05T06:00,15,1019.4,39,3,346,74,1,0,0
2024-01-05T07:00,16.5,1018,76,0.8,63,68,2,0,0
2024-01-05T08:00,16.8,1016.8,100,1.9,112,65,3,0,0
2024-01-05T09:00,17,1016.5,86,1.8,169,63,3,0,0
2024-01-05T10:00,17.2,1016.2,37,1.9,248,61,1,0,0
2024-01-05T11:00,17.1,1016.8,9,4,297,60,0,0,0
2024-01-05T12:00,15.9,1016.9,31,5.6,315,67,1,0,0
2024-01-05T13:00,10.9,1017.9,6,6.4,344,90,0,0,0
2024-01-05T14:00,10.2,1018.9,8,7,339,92,0,0,0
2024-01-05T15:00,9.5,1019.5,15,6.4,333,94,0,0,0
2024-01-05T16:00,8.8,1019.8,24,6.1,332,95,1,0,0
2024-01-05T17:00,8.5,1019.6,24,6.1,332,96,1,0,0
2024-01-05T18:00,7.8,1019.1,1,7.1,330,97,0,0,0
2024-01-05T19:00,7.1,1018.9,4,8.9,320,98,0,0,0
2024-01-05T20:00,7.1,1018.7,3,6.5,304,99,0,0,0
2024-01-05T21:00,6.3,1018.6,1,7,305,100,0,0,0
2024-01-05T22:00,6.8,1018.3,98,5.1,309,100,3,0,0
2024-01-05T23:00,6.5,1018.3,100,5.4,312,100,3,0,0
2024-01-06T00:00,7.3,1018.7,100,5.2,304,100,3,0,0
2024-01-06T01:00,9.1,1020,100,6.6,338,97,3,0,0
2024-01-06T02:00,9.4,1020.6,100,5.8,330,97,3,0,0
2024-01-06T03:00,10.5,1021.6,100,6,343,92,3,0,0
2024-01-06T04:00,11.6,1022.4,100,6.9,354,88,3,0,0
2024-01-06T05:00,12.9,1022.1,100,7.1,336,81,3,0,0
2024-01-06T06:00,14.5,1021,99,4.7,4,71,3,0,0
2024-01-06T07:00,15.6,1019.6,99,5.2,74,65,3,0,0
2024-01-06T08:00,16.3,1018.5,71,3.6,96,61,2,0,0
2024-01-06T09:00,17.1,1017.6,3,0.8,153,58,0,0,0
2024-01-06T10:00,17.2,1017.3,0,1.5,284,58,0,0,0
2024-01-06T11:00,17,1017.4,1,3.1,324,59,0,0,0
2024-01-06T12:00,14.7,1017.8,2,5.2,295,71,0,0,0
2024-01-06T13:00,12.2,1019.4,100,4.8,318,82,3,0,0
2024-01-06T14:00,12.7,1020,100,4.7,274,81,3,0,0
2024-01-06T15:00,12.6,1020.5,100,6.9,264,81,3,0,0
2024-01-06T16:00,12.3,1021,100,6.9,261,82,3,0,0
2024-01-06T17:00,11.8,1020.9,95,6.9,276,84,3,0,0
2024-01-06T18:00,11.7,1020.5,98,7.8,292,82,3,0,0
2024-01-06T19:00,11.1,1020.1,96,7.4,299,84,3,0,0
2024-01-06T20:00,10.9,1019.4,100,6.6,299,84,3,0,0
2024-01-06T21:00,10.9,1019.4,100,5.9,317,84,3,0,0
2024-01-06T22:00,10.2,1019.3,100,6.4,333,88,3,0,0
2024-01-06T23:00,10.5,1019.2,100,8.3,342,87,3,0,0
2024-01-07T00:00,10.9,1019.1,100,9,344,83,3,0,0
2024-01-07T01:00,6.4,1020.4,0,5.9,284,97,0,0,0
2024-01-07T02:00,6.1,1021.5,0,5.8,277,98,0,0,0
2024-01-07T03:00,8.5,1022.6,0,6.2,280,92,0,0,0
2024-01-07T04:00,11.2,1023.4,0,3.4,288,82,0,0,0
2024-01-07T05:00,13.5,1023.4,0,3.1,306,74,0,0,0
2024-01-07T06:00,15.2,1022.5,0,2.2,351,67,0,0,0
2024-01-07T07:00,16.2,1021.1,0,2.6,56,63,0,0,0
2024-01-07T08:00,17,1019.8,2,3.3,77,61,0,0,0
2024-01-07T09:00,17.5,1019,0,2.9,97,59,0,0,0
2024-01-07T10:00,17.5,1018.4,0,2.6,124,59,0,0,0
2024-01-07T11:00,17.1,1018.3,0,3.2,153,60,0,0,0
2024-01-07T12:00,13.9,1018.2,0,7.3,171,75,0,0,0
2024-01-07T13:00,11.1,1018.7,0,5.2,236,83,0,0,0
2024-01-07T14:00,10.3,1019.5,0,5.2,236,87,0,0,0
2024-01-07T15:00,9.3,1019.9,3,6.7,234,92,0,0,0
2024-01-07T16:00,8.4,1020.1,9,6.3,239,93,0,0,0
2024-01-07T17:00,7.8,1020.3,7,6.2,249,94,0,0,0
2024-01-07T18:00,7.3,1020.2,1,6.1,267,95,0,0,0
2024-01-07T19:00,6.5,1019.8,12,6.8,288,97,0,0,0
2024-01-07T20:00,6.3,1019.5,7,7.1,300,97,0,0,0
2024-01-07T21:00,7,1019.2,5,6.4,308,95,0,0,0
2024-01-07T22:00,6.6,1019.3,0,6.5,304,96,0,0,0
2024-01-07T23:00,6.1,1019.5,0,6.4,297,98,0,0,0
2024-01-08T00:00,5.4,1019.6,0,7.8,304,99,0,0,0
2024-01-08T01:00,6.1,1020.7,3,6.2,339,99,0,0,0
2024-01-08T02:00,6.1,1021.8,100,8,355,100,3,0,0
2024-01-08T03:00,8.1,1022.4,100,4.5,14,99,3,0,0
2024-01-08T04:00,10.4,1022.7,95,4.1,38,99,3,0,0
2024-01-08T05:00,13.5,1022.7,0,3.3,49,85,0,0,0
2024-01-08T06:00,15.7,1021.6,0,3.3,96,73,0,0,0
2024-01-08T07:00,17,1020.3,0,3.6,127,64,0,0,0
2024-01-08T08:00,17.8,1019.2,0,3.3,131,61,0,0,0
2024-01-08T09:00,18.3,1018.5,0,3.1,144,60,0,0,0
2024-01-08T10:00,18.3,1017.9,0,2.6,146,61,0,0,0
2024-01-08T11:00,17.8,1017.8,0,1.8,143,63,0,0,0
2024-01-08T12:00,16.9,1017.7,0,3.1,135,67,0,0,0
2024-01-08T13:00,11.2,1019.3,0,8.4,335,90,0,0,0
2024-01-08T14:00,10.2,1019.4,0,8.7,322,94,0,0,0
2024-01-08T15:00,9.3,1019.8,0,8.7,315,95,0,0,0
2024-01-08T16:00,8.4,1020,0,9.4,320,96,0,0,0
2024-01-08T17:00,7.9,1019.9,0,8.2,322,97,0,0,0
2024-01-08T18:00,7.8,1019.5,0,6.3,336,98,0,0,0
2024-01-08T19:00,7.5,1019.2,14,6.5,341,99,0,0,0
2024-01-08T20:00,7.1,1019.2,23,6.1,332,99,1,0,0
2024-01-08T21:00,6.9,1019.2,15,6.6,338,99,0,0,0
2024-01-08T22:00,7.1,1019.1,1,8.3,342,97,0,0,0
2024-01-08T23:00,6.6,1019,0,6.2,339,97,0,0,0
2024-01-09T00:00,5.9,1019.2,0,7,339,98,0,0,0
2024-01-09T01:00,7.2,1020.9,0,6.2,350,98,0,0,0
2024-01-09T02:00,6.3,1021.6,3,7.2,3,99,0,0,0
2024-01-09T03:00,8.6,1022,0,6.3,329,93,0,0,0
2024-01-09T04:00,11,1022.5,0,4.8,297,85,0,0,0
2024-01-09T05:00,13.7,1022.3,0,4.9,287,75,0,0,0
2024-01-09T06:00,15.8,1021.1,0,10,291,70,0,0,0
2024-01-09T07:00,17.1,1019.9,0,12.3,291,67,0,0,0
2024-01-09T08:00,17.8,1018.7,0,13.4,290,65,0,0,0
2024-01-09T09:00,18.2,1018.1,0,12.8,292,62,0,0,0
2024-01-09T10:00,18.3,1017.6,1,12,291,62,0,0,0
2024-01-09T11:00,17.6,1017.6,0,11.9,295,65,0,0,0
2024-01-09T12:00,15.4,1017.9,4,9,299,77,0,0,0
2024-01-09T13:00,10.6,1020,1,10.6,332,88,0,0,0
2024-01-09T14:00,9.5,1020.6,0,9.4,328,92,0,0,0
2024-01-09T15:00,8.6,1021.2,0,10.6,325,93,0,0,0
2024-01-09T16:00,7.8,1021.6,0,10.2,321,94,0,0,0
2024-01-09T17:00,7.1,1021.7,0,10.9,314,95,0,0,0
2024-01-09T18:00,6.6,1021,0,11.2,291,95,0,0,0
2024-01-09T19:00,6,1020.7,0,12.6,294,96,0,0,0
2024-01-09T20:00,5.5,1020.4,0,13.2,299,96,0,0,0
2024-01-09T21:00,5.1,1020.2,0,13,304,95,0,0,0
2024-01-09T22:00,4.7,1020.1,0,11.9,299,96,0,0,0
2024-01-09T23:00,4.4,1019.7,0,12,291,96,0,0,0
2024-01-10T00:00,4.3,1019.5,0,13.5,286,96,0,0,0
2024-01-10T01:00,5,1020.9,3,13.7,300,96,0,0,0
2024-01-10T02:00,5,1021.1,1,14.2,294,96,0,0,0
2024-01-10T03:00,6.3,1021.4,2,14.7,295,90,0,0,0
2024-01-10T04:00,8.2,1021.8,2,13.8,298,83,0,0,0
2024-01-10T05:00,10.3,1021.5,3,13.5,299,76,0,0,0
2024-01-10T06:00,12.3,1020.2,8,13.7,293,71,0,0,0
2024-01-10T07:00,14,1018.5,2,14.9,290,67,0,0,0
2024-01-10T08:00,15.3,1017,1,15.4,286,64,0,0,0
2024-01-10T09:00,16,1016.1,0,15.4,286,62,0,0,0
2024-01-10T10:00,16.1,1015.4,0,14.8,283,62,0,0,0
2024-01-10T11:00,15.5,1015.4,0,14.2,279,65,0,0,0
2024-01-10T12:00,13.5,1015.7,0,11.5,274,75,0,0,0
2024-01-10T13:00,10.1,1017.1,0,10.4,284,88,0,0,0
2024-01-10T14:00,9.5,1017.8,0,11.8,290,90,0,0,0
2024-01-10T15:00,8.9,1018.5,0,11.8,297,92,0,0,0
2024-01-10T16:00,8.3,1018.9,0,11,302,92,0,0,0
2024-01-10T17:00,7.6,1018.9,0,8.7,300,93,0,0,0
2024-01-10T18:00,6.9,1018.8,0,7.5,287,94,0,0,0
2024-01-10T19:00,6.4,1018.5,0,8.7,277,96,0,0,0
2024-01-10T20:00,6.1,1018.4,0,9.7,272,96,0,0,0
2024-01-10T21:00,5.9,1018.6,0,10.8,272,96,0,0,0
2024-01-10T22:00,5.6,1018.6,0,11.2,274,96,0,0,0
2024-01-10T23:00,5.4,1018.7,0,11.6,277,97,0,0,0
2024-01-11T00:00,5.1,1019,0,10.2,278,97,0,0,0
2024-01-11T01:00,6.1,1020.8,100,10.5,292,100,3,0,0
2024-01-11T02:00,6.2,1021,100,11.1,299,99,3,0,0
2024-01-11T03:00,6.6,1022,100,11.8,308,99,3,0,0
2024-01-11T04:00,7.3,1023.1,100,11.7,313,98,3,0,0
2024-01-11T05:00,9.1,1023.3,100,10.2,312,87,3,0,0
2024-01-11T06:00,11.1,1022.2,86,9.9,314,79,3,0,0
2024-01-11T07:00,13.1,1020.8,34,10,311,73,1,0,0
2024-01-11T08:00,14.4,1019.6,9,10.5,308,70,0,0,0
2024-01-11T09:00,15.2,1018.5,0,10.9,304,69,0,0,0
2024-01-11T10:00,15.4,1018,2,11.8,301,68,0,0,0
2024-01-11T11:00,14.8,1017.9,0,11.9,299,71,0,0,0
2024-01-11T12:00,12.6,1017.8,0,7.6,295,83,0,0,0
2024-01-11T13:00,10.7,1018.4,0,9.2,301,87,0,0,0
2024-01-11T14:00,9.6,1018.7,0,8.4,310,91,0,0,0
2024-01-11T15:00,8.6,1018.9,0,7.7,319,93,0,0,0
2024-01-11T16:00,7.9,1019,0,7.4,317,94,0,0,0
2024-01-11T17:00,7.4,1018.9,0,7.4,309,95,0,0,0
2024-01-11T18:00,7,1018.6,0,8,297,96,0,0,0
2024-01-11T19:00,7,1018.9,0,10.5,286,95,0,0,0
2024-01-11T20:00,6.7,1018.7,0,8.8,282,96,0,0,0
2024-01-11T21:00,6.2,1018.2,0,8.4,280,97,0,0,0
2024-01-11T22:00,6,1017.8,0,9.4,274,97,0,0,0
2024-01-11T23:00,5.9,1017.4,0,9.4,272,97,0,0,0
2024-01-12T00:00,5.7,1017.3,0,10.1,270,97,0,0,0
2024-01-12T01:00,5.7,1018.6,100,10.4,270,100,3,0,0
2024-01-12T02:00,5.5,1019.1,100,9.4,274,100,3,0,0
2024-01-12T03:00,6.5,1020.1,100,10.4,284,99,3,0,0
2024-01-12T04:00,7.7,1021.1,100,11.5,284,98,3,0,0
2024-01-12T05:00,10.2,1021,78,10.2,278,87,2,0,0
2024-01-12T06:00,12.8,1020.2,3,10.4,284,79,0,0,0
2024-01-12T07:00,14.9,1018.8,0,9,286,69,0,0,0
2024-01-12T08:00,16.4,1017.6,0,8.8,289,63,0,0,0
2024-01-12T09:00,17.3,1017.1,13,9.7,292,60,0,0,0
2024-01-12T10:00,17.5,1016.7,2,10.2,288,58,0,0,0
2024-01-12T11:00,16.9,1016.8,1,9.4,288,61,0,0,0
2024-01-12T12:00,13.5,1017.1,0,7.5,287,79,0,0,0
2024-01-12T13:00,11.1,1017.9,0,7.1,315,87,0,0,0
2024-01-12T14:00,10,1018.2,11,7,325,90,0,0,0
2024-01-12T15:00,8.9,1018.4,73,7.4,346,92,2,0,0
2024-01-12T16:00,7.8,1018.6,70,9.8,354,94,2,0,0
2024-01-12T17:00,7.3,1018,30,9.4,360,95,1,0,0
2024-01-12T18:00,8.4,1017.8,24,5.6,315,95,1,0,0
2024-01-12T19:00,6.5,1017.4,48,4.7,274,99,1,0,0
2024-01-12T20:00,5.2,1016.7,100,5.8,263,100,3,0,0
2024-01-12T21:00,5,1016.7,100,5.8,263,100,3,0,0
2024-01-12T22:00,5.6,1016.5,100,5.1,274,99,3,0,0
2024-01-12T23:00,5.5,1016.7,100,4.6,288,100,3,0,0
2024-01-13T00:00,5.7,1017.2,100,5.6,315,99,3,0,0
2024-01-13T01:00,5.4,1017.4,100,4.6,309,100,3,0,0
2024-01-13T02:00,5.7,1018.3,100,4.3,318,98,3,0,0
2024-01-13T03:00,6.2,1019.6,100,3.3,311,96,3,0,0
2024-01-13T04:00,7.4,1020.4,100,2.5,262,95,3,0,0
2024-01-13T05:00,9.2,1021,100,4,243,95,3,0,0
2024-01-13T06:00,12.1,1019.8,100,2.5,262,81,3,0,0
2024-01-13T07:00,14.8,1018.4,100,2.9,263,65,3,0,0
2024-01-13T08:00,16.5,1017.1,100,3.3,283,55,3,0,0
2024-01-13T09:00,17.5,1016.3,100,3.5,294,49,3,0,0
2024-01-13T10:00,17.8,1015.8,96,3.1,315,48,3,0,0
2024-01-13T11:00,17.1,1015.8,100,1.8,349,59,3,0,0
2024-01-13T12:00,14.1,1015.9,84,6.2,10,71,3,0,0
2024-01-13T13:00,11,1016.8,0,8.4,7,85,0,0,0
2024-01-13T14:00,9.7,1017.2,0,9.4,4,87,0,0,0
2024-01-13T15:00,8,1017.5,0,10.8,358,90,0,0,0
2024-01-13T16:00,7.5,1017.9,0,9,358,91,0,0,0
2024-01-13T17:00,7.8,1017.8,0,6,343,91,0,0,0
2024-01-13T18:00,8,1017.4,0,4.3,318,93,0,0,0
2024-01-13T19:00,6.1,1017.3,0,5.8,330,99,0,0,0
2024-01-13T20:00,4.6,1017.2,99,7.3,327,100,3,0,0
2024-01-13T21:00,4.1,1016.9,100,6.5,304,100,3,0,0
2024-01-13T22:00,4.4,1016.4,100,7.2,297,100,3,0,0
2024-01-13T23:00,4.9,1016,100,5.8,292,100,3,0,0
2024-01-14T00:00,4.1,1016.3,100,6.4,297,99,3,0,0
2024-01-14T01:00,4.5,1017.8,100,7.4,313,99,3,0,0
2024-01-14T02:00,4.4,1018.4,100,6.6,319,97,3,0,0
2024-01-14T03:00,4.1,1019.1,100,5.9,322,97,3,0,0
2024-01-14T04:00,5.8,1020.3,100,7.7,319,97,3,0,0
2024-01-14T05:00,8.2,1020.8,100,6.9,313,94,3,0,0
2024-01-14T06:00,11.7,1020.1,6,6.6,311,80,0,0,0
2024-01-14T07:00,14.6,1018.5,0,7.1,319,68,0,0,0
2024-01-14T08:00,16.5,1017.2,0,7.1,319,59,0,0,0
2024-01-14T09:00,17.5,1016.4,0,7.1,315,54,0,0,0
2024-01-14T10:00,17.8,1015.8,0,7.9,313,51,0,0,0
2024-01-14T11:00,17,1015.8,0,7.9,309,56,0,0,0
2024-01-14T12:00,13.2,1016,0,7.7,298,76,0,0,0
2024-01-14T13:00,10.7,1017.5,1,7.7,298,87,0,0,0
2024-01-14T14:00,9.3,1018,11,8.1,302,91,0,0,0
2024-01-14T15:00,8.4,1018.5,0,8.7,318,93,0,0,0
2024-01-14T16:00,8.1,1019,0,7.7,332,93,0,0,0
2024-01-14T17:00,7.8,1018.9,0,8,333,93,0,0,0
2024-01-14T18:00,7.3,1018.3,0,7.9,330,94,0,0,0
2024-01-14T19:00,6.7,1018,0,7.5,325,96,0,0,0
2024-01-14T20:00,5.9,1017.5,0,6.6,319,98,0,0,0
2024-01-14T21:00,4.9,1017.2,0,7.1,311,99,0,0,0
2024-01-14T22:00,4.8,1016.9,17,6.5,304,100,0,0,0
2024-01-14T23:00,4.8,1016.5,100,7.2,297,100,3,0,0
2024-01-15T00:00,5,1016.7,100,8.4,290,100,3,0,0
2024-01-15T01:00,5.3,1018.5,100,9.1,304,100,3,0,0
2024-01-15T02:00,5.4,1018.8,100,7.9,294,99,3,0,0
2024-01-15T03:00,5.7,1019.2,100,8.2,285,99,3,0,0
2024-01-15T04:00,6.6,1020.1,100,8.7,287,97,3,0,0
2024-01-15T05:00,8.2,1020.3,100,8.4,301,88,3,0,0
2024-01-15T06:00,10.8,1019.3,77,6.8,302,80,2,0,0
2024-01-15T07:00,12.9,1018,56,6.8,302,71,2,0,0
2024-01-15T08:00,14.6,1016.8,45,7.3,303,63,1,0,0
2024-01-15T09:00,15.6,1016,54,7.7,298,58,2,0,0
2024-01-15T10:00,15.9,1015.5,72,8.4,295,56,2,0,0
2024-01-15T11:00,15.4,1015.4,82,7,291,58,3,0,0
2024-01-15T12:00,11.9,1015.4,85,8.3,288,78,3,0,0
2024-01-15T13:00,10.6,1016.5,21,6.1,332,78,1,0,0
2024-01-15T14:00,8.1,1017.1,29,8.7,353,89,1,0,0
2024-01-15T15:00,7.2,1017.4,75,9,5,92,2,0,0
2024-01-15T16:00,6.3,1017.6,53,9.4,360,93,2,0,0
2024-01-15T17:00,5.9,1017.4,26,7.9,360,93,1,0,0
2024-01-15T18:00,4.9,1016.6,99,7.9,3,97,3,0,0
2024-01-15T19:00,4.1,1016,93,8.4,10,99,3,0,0
2024-01-15T20:00,3.9,1015.4,100,8.2,15,100,3,0,0
2024-01-15T21:00,4.3,1015.1,100,6.1,360,100,3,0,0
2024-01-15T22:00,3.5,1014.7,100,4.1,322,100,3,0,0
2024-01-15T23:00,2.9,1014.5,100,2.3,288,100,3,0,0
2024-01-16T00:00,3.5,1014.7,100,3.4,288,100,3,0,0
2024-01-16T01:00,3.4,1015.6,100,3.1,291,99,3,0,0
2024-01-16T02:00,3.8,1016.3,100,3.2,297,97,3,0,0
2024-01-16T03:00,4.3,1017,100,3.8,343,91,3,0,0
2024-01-16T04:00,5.2,1017.9,100,2.5,352,95,3,0,0
2024-01-16T05:00,7.3,1018.2,100,1.3,34,94,3,0,0
2024-01-16T06:00,10.2,1017.3,44,1.4,90,88,1,0,0
2024-01-16T07:00,13.6,1015.7,0,1.8,90,70,0,0,0
2024-01-16T08:00,15.7,1014.2,0,1.8,90,61,0,0,0
2024-01-16T09:00,16.7,1013.2,0,2.2,81,56,0,0,0
2024-01-16T10:00,17,1012.8,0,3.3,84,53,0,0,0
2024-01-16T11:00,16.6,1012.8,1,3.2,90,54,0,0,0
2024-01-16T12:00,14.4,1012.9,0,5.4,86,64,0,0,0
2024-01-16T13:00,9.6,1014.2,0,10.1,96,85,0,0,0
2024-01-16T14:00,8.6,1014.5,0,10,103,86,0,0,0
2024-01-16T15:00,7.7,1015,16,9.7,88,87,0,0,0
2024-01-16T16:00,6.8,1015.6,0,10.3,78,91,0,0,0
