time,temperature_2m (°C),pressure_msl (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),relative_humidity_2m (%),weather_code (wmo code),rain (mm),precipitation (mm)
2024-01-01T00:00,20.9,1012,0,5.8,30,82,0,0,0
2024-01-01T01:00,20.1,1013.1,3,5.1,39,85,0,0,0
2024-01-01T02:00,20.1,1013.7,18,4.7,32,86,0,0,0
2024-01-01T03:00,22.5,1014.3,0,7,12,75,0,0,0
2024-01-01T04:00,25.8,1015,5,5.7,35,61,0,0,0
2024-01-01T05:00,28.8,1014.8,21,4.1,45,49,1,0,0
2024-01-01T06:00,30.9,1014,2,1.8,11,40,0,0,0
2024-01-01T07:00,31.8,1013,0,3.8,287,38,0,0,0
2024-01-01T08:00,31.6,1011.7,0,10.5,286,44,0,0,0
2024-01-01T09:00,31,1011.1,0,12.9,288,50,0,0,0
2024-01-01T10:00,30.1,1010.7,0,14.3,304,52,0,0,0
2024-01-01T11:00,29.3,1010.5,0,14.8,315,51,0,0,0
2024-01-01T12:00,27.7,1010.7,0,15.9,322,64,0,0,0
2024-01-01T13:00,26.1,1011.6,0,14.6,327,72,0,0,0
2024-01-01T14:00,25.3,1012.6,0,15.6,334,78,0,0,0
2024-01-01T15:00,24.9,1013.3,0,15.8,339,77,0,0,0
2024-01-01T16:00,24.6,1013.8,0,15.6,341,72,0,0,0
2024-01-01T17:00,23.8,1014.1,0,9.8,24,70,0,0,0
2024-01-01T18:00,22.6,1013.8,0,6.1,50,72,0,0,0
2024-01-01T19:00,22,1013,0,6.4,16,73,0,0,0
2024-01-01T20:00,21.2,1012.6,0,7.9,360,74,0,0,0
2024-01-01T21:00,21.7,1012.1,0,7.2,342,72,0,0,0
2024-01-01T22:00,21.5,1011.7,0,6.6,347,75,0,0,0
2024-01-01T23:00,21.1,1011.8,0,7.2,357,77,0,0,0
2024-01-02T00:00,20.8,1011.8,0,8.3,2,78,0,0,0
2024-01-02T01:00,20.4,1012.6,0,5.8,22,83,0,0,0
2024-01-02T02:00,20,1013,0,4.5,29,85,0,0,0
2024-01-02T03:00,22.3,1013.6,0,5.8,22,75,0,0,0
2024-01-02T04:00,25.2,1014,0,5,21,63,0,0,0
2024-01-02T05:00,28,1013.8,0,5.2,12,54,0,0,0
2024-01-02T06:00,30.1,1012.9,0,4.7,351,46,0,0,0
2024-01-02T07:00,31.1,1011.8,0,6.3,301,44,0,0,0
2024-01-02T08:00,30.6,1010.8,0,12.9,297,52,0,0,0
2024-01-02T09:00,30,1010.2,0,15.2,301,56,0,0,0
2024-01-02T10:00,29.4,1009.6,0,15.9,309,54,0,0,0
2024-01-02T11:00,28.5,1009.8,0,17.3,318,57,0,0,0
2024-01-02T12:00,26.8,1010.1,0,18.7,326,67,0,0,0
2024-01-02T13:00,25.4,1011.1,0,19.4,329,76,0,0,0
2024-01-02T14:00,25,1012.1,0,20,337,77,0,0,0
2024-01-02T15:00,24.6,1012.8,0,19.1,340,75,0,0,0
2024-01-02T16:00,24.1,1013.3,0,15.2,355,71,0,0,0
2024-01-02T17:00,23.4,1013.8,0,8.8,35,64,0,0,0
2024-01-02T18:00,21.9,1013.6,0,6.1,28,64,0,0,0
2024-01-02T19:00,21.1,1013,0,6.1,360,64,0,0,0
2024-01-02T20:00,20.8,1012.7,0,6.4,344,65,0,0,0
2024-01-02T21:00,21.2,1012.1,0,9,344,64,0,0,0
2024-01-02T22:00,21.1,1011.5,0,9.4,353,64,0,0,0
2024-01-02T23:00,20.9,1011.1,0,10.1,360,66,0,0,0
2024-01-03T00:00,20.3,1011.3,1,7.3,11,70,0,0,0
2024-01-03T01:00,19.5,1012,0,4.9,17,83,0,0,0
2024-01-03T02:00,19.9,1012.6,6,5.8,353,82,0,0,0
2024-01-03T03:00,22.3,1013.1,20,7.9,357,73,1,0,0
2024-01-03T04:00,24.8,1013.8,16,7.2,6,64,0,0,0
2024-01-03T05:00,27.3,1013.9,4,6.8,357,57,0,0,0
2024-01-03T06:00,29.1,1013,0,6.8,342,51,0,0,0
2024-01-03T07:00,30.2,1011.5,0,9.4,320,48,0,0,0
2024-01-03T08:00,30.1,1010.2,0,15.1,310,53,0,0,0
2024-01-03T09:00,29.5,1009.6,0,17.8,312,55,0,0,0
2024-01-03T10:00,28.9,1009,0,18.1,316,53,0,0,0
2024-01-03T11:00,28,1009.1,0,18.7,322,53,0,0,0
2024-01-03T12:00,26.5,1009.5,0,17.8,328,61,0,0,0
2024-01-03T13:00,25.2,1010.1,0,16.9,333,67,0,0,0
2024-01-03T14:00,24.5,1011,0,17.4,338,71,0,0,0
2024-01-03T15:00,24.1,1011.7,0,16.5,340,73,0,0,0
2024-01-03T16:00,23.4,1012.3,0,14.2,351,76,0,0,0
2024-01-03T17:00,22.4,1012.1,0,6.4,16,76,0,0,0
2024-01-03T18:00,21.5,1012.3,0,6.5,357,79,0,0,0
2024-01-03T19:00,21.5,1011.9,0,9.7,345,80,0,0,0
2024-01-03T20:00,21.1,1011.7,0,10.9,351,82,0,0,0
2024-01-03T21:00,20.8,1011.3,0,10.8,358,83,0,0,0
2024-01-03T22:00,20.4,1011.2,0,9.7,4,81,0,0,0
2024-01-03T23:00,19.7,1011,0,6.8,3,83,0,0,0
2024-01-04T00:00,19.1,1011.6,0,6.9,354,86,0,0,0
